x1lliihq 4,x1lliihq 11,x1lliihq 12,x1lliihq 13
"👋 Salam warga Threads! I am a final-year psychology student from Taylor's University, and I need your help to fill out a 5-10 min survey!
If you are
- Malaysian
- Between the ages of 18 and 24 🙎🙎‍♀️
- Currently enrolled in any university in Klang Valley (Selangor + KL) 🏙️
- Not living with depression or anxiety
Do join the study! Your responses will remain anonymous and confidential, and it means a lot to me!",,malaysia,
Hi ELF Malaysia 💙 I'm Siti. 👋,I'm giving away some K-pop albums and CDs (including SUJU) for FREE.,Kpop,"These belonged to my late friend, Jamie 🥹, who passed away earlier this month. Her mom entrusted me to pass them on to fellow fans."
I see me!,Saw a promotion by Tourism Malaysia inside the aircraft and since the advertisement was placed right at the front. Great job by,,in showcasing our product  to the world!
Helloo warga thread,We’re still hiring Customer Service (Banking) for May Intake,kerjakosongkl,"📍 Based in Kuala Lumpur
🕒 Rotational shifts
💰 Up to RM3.3k + shift allowance
🎓 Fresh grads are welcome
🗣 Fluent in English & Bahasa Malaysia"
Malaysia proudly giving SNEAKO the rapist a platform is so humiliating,,,
Save the Date korang..Ada 1-day treat ESOK: 6 May 2026. 💜,"Cuma perlu buat ni:
1. Follow",cbtlmalaysia,"on Treads, IG, Facebook or TikTok.
2. Show post mengenai ni di IG official CBTL dekat Brew Crew.
3. Redeem any cakes for only RM9.90."
AI won't take your job. The person using AI better than you will.,"697,000 Malaysian workers are about to find out the hard way (TalentCorp, May 2026).",Malaysia Threads,45% of the workforce already does work AI can do.
"Now Hiring – Mechanical Engineering Roles
📍 Bukit Raja, Klang
🏭 Automotive Manufacturing
✅ Onsite | 5 days/week
💰 Attractive salary (based on experience)
Open roles:
🔧 R&D Mechanical Engineer
🔧 R&D Hardware Dev Manager
🔧 Mechanical Manager
📩 nurfatihha.r@manpower.com.my
📱",,Malaysia Threads,
Orang cakap kabel tu penting. But I dah buktikan without kabel pun boleh!,"I dah join 5 MNC in 5 years without any kabel, org dlm, etc. 4 of it from Jobstreet, satu from LinkedIn.",,"2019: Intern with British Merican Tobacco Malaysia
2019-2021: BHP Shared Services
2021: L’Oreal Malaysia
2022-2023: DHL Asia Pacific SSC
2023-Current: Herbalife GBS Asia Pacific"
the setup hehe,,5sos Malaysia,
the account that she mentioned alrdy changed her/his dp and username too @nurulfatih5477 . beware okay everyone ‼️‼️,,5sos Malaysia,
why saya tak bole nak choose seat 😭😭 sold out dah keee,,5sos Malaysia,
"Another Day 1 highlight that had the whole crowd losing it,","Enjoy fans! Nak lagi?
#RainRave2026 #SurrealExperiences",Rain Rave KL,
"Dah lebih 10 tahun dah. And i still think this 2 movies were one of the best romcom movies ever existed in Malaysia. The location, the cinematography, the background songs, the vibes, the storyline. Everything was just perfect the way it was. My comfort movies 🫶🏼 korang pulak?",,,
Here's Sy's take for the movie which just recently entered the RM10 million club!,,Libang Libu,
"It’s not real tree , it’s call artificial bird of paradise 
In malay kita panggil pokok pisang hiasan ✨",🛒 Link shop in my profile,Malaysia Threads,
"Hello Threads fam! I’m Dr. Diana From Malaysia 💕 With 30 years in psychotherapy, I’m here to talk mental wellness, healing, and everything in between.","Come connect, let’s make this a safe space!",psychotherapist,
hi i have extra vip seating 318 row b seat 6/7 side by side to letgo! can enter together and will be at the venue jugak nanti! can pm for price and other details,selling cause was able to secured desired seat!!,5sos Malaysia,
"Salam, boleh tanya, in malaysia atau oversea? And engineer in what field? Software or IT?",More,"My career progress
1. 2014: Junior Engineer - gaji start RM2400. Berhenti dgn gaji RM 3500
2. 2016: Senior engineer - gaji start RM4400, berhenti dgn gaji RM5000
3. 2018: Lead Engineer /Section Manager - Gaji start ~RM6500. Berhenti dgn gaji RM12, 000
4. 2023: Lead Engineer - gaji start RM 30,000. Benti sama gaji
5. 2026: Lead Engineer - start gaji RM40k (sampai skrg la)",Like
Anyone need Cat 4 x2?,"Help cus ask, cus wanna upgrade to VIP STAND",5sos Malaysia,
"Omo³!!!! Hear that Crowd at the Recent Water Festival in Kuala Lumpur!!!
GD 👑👑👑",Malaysia Represent💖💖💖,BIGBANG,
"Wasnt planning to go but I changed my mind. Only managed to study my preferred section this morning, then signed up for the artist presale and finally got myself a ticket.",Hope everything goes smoothly 🙏,5sos Malaysia,
Apa chaotic sangat hidup aku ni. MY PURSE IS IN BY BOYFRIEND’S CARD WTFFF,,5sos Malaysia,
-1000 points for not having Malaysia on the list. 😤,More,Ranking the Asian cuisines I’ve tried:,Like
"Malaysia 🇲🇾
📍Pavilion Bukit bintang 
  Rain rave water music festival 💦",,,
"Kuala Lumpur, Malaysia 🇲🇾",,,
Anak Malaysia ❤️‍🔥,,,
Imaginary deadlift 💭,"Gear: sbd.malaysia 
Team: eagll.powerlifting 
Apparel:",,Supplement: mutant_my
". mbeumo ,","We beat the scousers twice! 
We are back to","even though we dont have european football to offer them. 
They believe, we believe and we did it !
We had a great match viewing at","❤️⚽️☮️
#ManchesterUnited #MUFC #KLMRD #UnitedMalaysia #RedDevils united_malaysia_srd"
Only my ipad got through. This is not it babes. Not coolllll😫😫😫😫,,5sos Malaysia,
🚨| Trending Music on YouTube Music Malaysia 🇲🇾,#25. Berjauh-an — Aina Abdul,BERJAUHAN Aina Abdul,
"Ya, Alhamdulillah for my time in Malaysia. I am so happy to be here and to celebrate the joy of the Malaysian people. Every day, I make Dua for everyone who has recently married and for the success of all my new Malaysian friends. I truly cherish every encounter I’ve had. I’ve really enjoyed my filming work in Malacca, the warm open house invitations, and learning so much about Islam.","Alhamdulillah, saya sangat bersyukur dapat berada di Malaysia.",Malaysia Threads,
"1 more day left at Siuk, Havoc Food fest!",,,
"Malaysian be like: susah nak kurus kat Malaysia ni, makanan kita menggemukkan!","Me: Lost 38kg (from 123kg to 85kg).
Body fat dropped from 47% to 18%.
Still eating Malaysian food.",dietthreads,"It’s not the food.
It’s our eating habits and sedentary lifestyle."
"Hi everyone, I’m Hui Yin, a registered and licensed counsellor based in KL (KB11130; PA10738). I offer therapy sessions both face-to-face and online for clients in Malaysia.","I work with individuals, couples, and families through life transitions, relationship challenges, and experiences of loss or change. I also use creative approaches like expressive art therapy to help people explore and process their experiences.",mental health,
malaysia to world cup 2030 lets gooo,,,
What a beautifully multicultural country Malaysia is! 💕,,马来西亚🇲🇾,
What is  the Malaysian culture?,"In my interpretation, it is the one that promote multiculturalism, tolerance, diversity, friendliness, kind, and helpfulness.",,"The attacks on rain rave violate the very culture Malaysia embodies. It shows pettiness, extreme intolerance, hateful, one-dimensional, monoculturalism, and nastiness. If that's what you mean by culture, it's disgusting and I don't want to be a part of it."
"The question I've been thinking about too. 🫠 I thought Japan loves animals but they treat wildlife in zoos like pests. We need DAK back home in Malaysia!!! Zoo Taipjng, oh Zoo Taiping,  senyap sangat ni. PMX already visited",Verified,Dara Kelat Amoi,shemazack:
"📍Kuala Lumpur, Malaysia🇲🇾",,,
I think I found a little piece of myself again 🥹🌸,"Once upon a time, back in Malaysia… I baked almost every day.
It was my happy place, my little world.",Life in Madinah,"Then I came to Saudi,
and somehow that part of me went quiet…
No baking, no ingredients, no familiar comfort for almost 7 months."
We’re looking for Malay & Chinese lifestyle creators for an upcoming campaign with Bam & Co 🤍,"If your content revolves around wellness, family moments, and effortless everyday style, we’d love to hear from you.",Kol malaysia,"Minimum 20K followers 
Deliverables: IG Reel (cross-post to TikTok) 
Budget: RM800 
Timeline: TBC"
GOT MY VIP STANDING,,5sos Malaysia,
"Located in Kuala Lumpur, Malaysia, Taman Tugu is a beautiful park near the national monument. With its picturesque trails, it's easy to forget you're not in a remote jungle - the heat and humidity see to that. Listen closely and you'll hear monkeys leaping through the trees.",,,
We’re hiring !,"“Content Marketing Executive” (weddings, singapore) 🎥✨",singapore job vacancy,"if you love creating tiktok/reels, can shoot & edit, and want your content to actually bring in leads then this is for you."
"hi semuaaa, i perlukan nano KOLs with 1k followers and above for skincare review!",apply here ➡️,Kol malaysia,📅 Posting: within May
"ready for general sales today guys! 
secured 38x ticket semalam for 5sos, harap harini dapat cat2 🫶🏻",click link below to join our telegram!,5sos Malaysia,
Interest rates around the world (as of April 2026) :,"1) Turkey 🇹🇷 : 37%
2) Argentina 🇦🇷 : 29%
3) Russia 🇷🇺 : 14.5%
4) South Africa 🇿🇦, Mexico 🇲🇽 : 6.75%
5) Brunei 🇧🇳 : 5.5%
6) India 🇮🇳 : 5.25%
7) Indonesia 🇮🇩 : 4.75%
8) Australia 🇦🇺 : 4.2%
9) US 🇺🇸, UK 🇬🇧 : 3.75%
10) China 🇨🇳 : 3%
11) Malaysia 🇲🇾 : 2.75%
12) South Korea 🇰🇷 : 2.5%
13) Singapore 🇸🇬 : 1.36%
*Source : trading economics",,
"WTT (want to trade) ticket Daniel Caesar 25/5 to Daniel Caesar 24/5 (standing area).
📍Malaysia",help me 😞😞…,Daniel Caesar,
Jumpa kat starting line yaa !!,,malaysia marathon 2026,
"No one said supporting Tamil Nadu politics, supporting Vijay, supporting TVK means abandoning Malaysia. You can walk and chew gum at the same time. Caring about more than one place doesn’t divide loyalty but it just proves your world isn’t small.",,,
OMG JUST SECURED THE TICKET AFTER ALMOST 2 HOURS 😭😭 ARGHHHHHHH,,5sos Malaysia,
"Wts
3x cat 4 tickets 
Dm if interested",,5sos Malaysia,
KL / Maleka - Malaysia 🌴🌞,,,
"melaka, malaysia",,,
"《Gareth.T －Prince Of nothing 心零王子 》- 台北站 
On guitar show done! ✅🎸",See you guys in Malaysia!🤙🏻,,
Malaysia🇲🇾,,,
Give me a few months and I’ll be married to a Malaysian woman. #malaysia #travel #muslim,,,
"Another day, another impromptu decision to sign up for another half marathon. 🙂‍↕️","5 July - Kuantan HM
30 Aug - Malaysia Marathon HM
5 Dec - BYD SG International HM",,Ok cukup!
Life recently. I know you miss me😆 #igers #malaysia,,,
Now OPEN for tennis classes 🎾,"Train smart, stay consistent, and take your game to the next level.",Tennis Threads,DM us to join!
🇸🇬🇲🇾🇮🇳,"“Do not think of pink cow”
“How your Brain work”",,"Millionaire Neuro Mastery 
Peter Tan"
dating scene in malaysia is fucking pathetic,,,
Malaysia,,,
lisha ho on the harper’s bazaar malaysia may 2026 cover // cd and styling by me,,Fashion Threads,
"CONCERT CREW
Date:4/4/26 - 4/5/26
Time: 10am - 10pm
Payment: RM112/day
Interested can dm me. Thank you 😊",,Malaysia Threads,
Malaysia 🇲🇾,,,
malaysia style??,,,
Private Investors & Business Networking,"Investors & Entrepreneurs Gathering and Networking from ASEAN countries, Malaysia 🇲🇾, Indonesia 🇮🇩 Vietnam 🇻🇳 and Australia 🇦🇺",,
in Malaysia🇲🇾,,,
Middle finger to all of you yang beli banyak” and resell untuk cari untung,,5sos Malaysia,
defending urself is illegal in malaysia,,,
"wagai coer malaysia sekaliann , mcm manaa nak streamm 5 tracks tu and ss eh ? i tak pahamm 😞 sorry la first time 🙏🏻 plss lemme knoww",,Cortis,
Thank you everyone yang suggest seating siap share vid i owe u guys a lot!!! Semoga yang baca and help me dapat tiket that u desired🤍,,5sos Malaysia,
🚨 SIMPLE PLAN MALAYSIA 2026 🇲🇾,Want tickets but don’t want the stress? 👀 We’ve got you covered.,simple plan malaysia,"🎟️ Ticketing Service Available 
💰 Service Charge: RM35 per ticket 
⚡ ONLY 2 SLOTS (first come, first served!)"
"Helloo, I'm Engku, a third year student of Bachelor of Dietetic 🤗
Currently looking for 200 respondents for my final year project. If you tend to have some free time and matches these requirements, your participation will be greatly appreciated. Thank youu 💗💗
Requirements:
- Malaysia (19-30 y/o)
- Currently living or studying in university in Klang Valley (KL, Putarajaya, Hulu langat, Gombak, Petaling, Sepang, Klang)",,students,
"Malaysia, share your last meal in the comments and win a meal on us! 😁🙌🍔",,,
I think I can safely say every house in Malaysia ada botol minyak akar ranting daun ni dulu2. Ours was minyak merah.,More,"Bahan apalah pakcik ni letak buat minyak ni, I sapu dekat kaki kucing yg dah berulat hitam, isi terjuntai, level2 bawak vet auto potong. Tak sampai seminggu baik kakinya. Dekat sporo pun jadi. Luka manusia apatah lagi. RM10 je sebotol. Murah rezeki pakcik mudahkan urusan cat lover tap kurang mampu mcm I 😭",Like
"upgrade phone ❌
upgrade ticket ✅",,Apink in Malaysia,
Proud to be MALAYSIA MOA ❤️❤️🫡,,TXT,
Songran in Malaysia ❤️,,,
me in hs a decade ago vs me with my big girl money :’),,5sos Malaysia,
Penat tapi still lock in,,Malaysia Threads,
I am Malaysia,,,
"Wts
3x cat 4 tickets 
Dm if interested",,5sos Malaysia,
"After 20 hours travelling, our 4-year-old tries his first meal in Kuala Lumpur 🇲🇾🥢","A simple bowl of beef noodle soup… but to him, it was EVERYTHING.",,"He said Daddy could have one taste…
Just not two or three 😅"
Top 11 ADHD‑friendly workplaces di Malaysia termasuk tempat D sendiri:,"1. Dell Technologies Malaysia
- Fleksibel masa kerja dan remote work option. 
- Budaya inklusif, ada sokongan untuk pekerja neurodivergent.",,"2. Microsoft Malaysia 
- Sokongan mental health dan awareness neurodiversity. 
- Projek berstruktur tapi ada ruang untuk kreativiti."
"Ya Allah selamatkan Bumi Malaysia. Maafkan kami Ya Rasulullah, Maafkan kami Ya Allah . Aku pendam sorang2 tak boleh nak tahan dh💔 Bulan Al Quran diturunkan ke dunia, dihina di bulan yang sama.",,,
"📍Kuala Lumpur, Malaysia",Audio is muted,Audio is muted,Audio is muted
ALHAMDULILLAH I DID IT SECURED BY MY OWNSELF IM SO HAPPYYY😭😭😭😭 SEE U GUYS IN NOV!! Smoothest ticket buying i ever experienced seriouslyyy🤍🥹,,5sos Malaysia,
"G-DRAGON 818 BLOOM pop-up is landing in Kuala Lumpur! 🌼
Get your hands on the exclusive daisy block set designed by GD himself — plus a chance to join the lucky draw! 🎁✨
Limited time only. Don’t miss it.","📍 LaLaport Bukit Bintang City Centre
📅 May 1 – May 17, 2026
⏰ 10:00 – 22:00",,Source Credit: eatpraylove_malaysia
They say you only realize the value of home once you’ve seen the world.,Saw Malaysia through a different lens after returning from the U.S. Joined UMNO in 2022 when UMNO were losing badly; everyone had jumped ship and left UMNO.,,"UMNO may not be perfect, but what’s better than UMNO when it comes to govern/serving the nation? There will always be bits of UMNO in the government."
Hello F&B bosses! May I know where can I get this type of exhaust hood in Malaysia? Must be no ducting and self-filtered 🇲🇾. Appreciate in advance 🙏,,f&b malaysia,
moment here at RainRave 💦📍,,,
I'm Japanese and I Studied Islam with Malaysian sisters,,Malaysia Threads,
I'm from Malaysia🇲🇾 Friend,,,
✨ LET YOUR HOME SPARKLE AGAIN! ✨,"Tired of dust, stains & messy spaces?
Let the professionals handle it 💪",,"🧹 BAMBOO CLEANING SERVICES MALAYSIA SDN BHD
✔️ 100% LEGAL WORKERS WITH PERMIT
✔️ Registered under KDN & Immigration Malaysia
✔️ Proud REGISTERED MEMBER of MACM (Malaysian Association of Cleaning Management)
✔️ All tools & chemicals provided (Percuma!)"
"truthfully, i’m a brand designer with a introverted homebody shell.","but I’m the happiest to be talking a about all the deeper insights with you, or just analyzing things. and it’s been awhile since i ramble into the internet. might sound like a robot essay sometimes, so be nice please.",graphic designer Malaysia,
Done simple plan. Sorang2 pun jadik. My inner teenage girl is happy 😁😁😁😁,,simple plan malaysia,
"Wts
3x cat 4 tickets 
Dm if interested",,5sos Malaysia,
📍. Malaysia🇲🇾,,,
Hii i berjaya secured presale tickets tadi Alhamdulillah 😭,Anyone wants to join my ticketing service for general sale tommorow?,5sos Malaysia,💸 RM50 per ticket (service charge)
"🌃 Experience Kuala Lumpur Lights From The Upper Deck 🚍✨
Watch the city skyline glow at night while enjoying a cinematic ride through the heart of Kuala Lumpur 🌆","If you’re visiting KL, this KL City of Lights Night Tour is honestly one of the nicest ways to experience the city after sunset ✨",Kuala Lumpur Malaysia,"The open-top upper deck gives you a completely different view of Kuala Lumpur at night, cool breeze, glowing skyscrapers, busy city lights, and iconic landmarks passing right in front of you 🌃"
"""Light Up Malaysia""
Group exhibition with 24 illustrators,GMBB.",My work title : HOME,KLIF26,"Artwork description:
Painted from nights in the street.
I used to see the same faces homeless, but still holding on, still human.
City lights keep shining, but not everyone is seen.
This piece is a reminder that they exist, they belong."
Cowok Malaysia mana nih,,,
Good morning to all corporate slaves,,Malaysia Threads,
"Hello everyone 👋🏻 I’m looking for a snail mail service based in Malaysia that offers registered / tracked mail only.
Before this I pernah subscribe untracked mail tapi tak pernah sampai 😩
So now I prefer yang offer registered mail / Shopee option. tqia! 🤍",,snail mail club,
"Anyone nak tickets for 5SOS IN KL
2× VIP seating 
2× VIP standing 
3× Cat 5
2× cat 3
Dm if interested in the tickets 
Original price+RM 5
Only serious buyers",,5sos Malaysia,
Available for gensale tomorrow. Anyone nak slot can DM ya 😊✨,,5sos Malaysia,
"I'm finally projected to hit RM1million in 2026 which means I can withdraw excess EPF savings, but the threshold is increased RM100k every year onwards starting 2026. I feel like the system is targeting me 🥲😅","2026 : RM1.1million
2027 : RM1.2million
2028 : RM1.3million",EPF Malaysia,
PSP FULLGAMES  MEMANG LAYAN BEB NOSTALIGA MOMENT WITH THIS HANDHELD GAME 🎮🎯,,Malaysia Threads,
We’re Building a Culture of Kracked Founders in Malaysia 🇲🇾,Build in Public,,On a Ledger that Never Lies
Open ticketing service 5sos in Malaysia. Use ur personal data and self payment. Fee after secured🤗,,5SOSinKL,
anyone nak ??? my service fee RM25 per ticket onlyyy,,5sos Malaysia,
𝐌𝐀𝐋𝐀𝐘𝐒𝐈𝐀 𝐌𝐀𝐑𝐀𝐓𝐇𝐎𝐍 𝟐𝟎𝟐𝟲 | 𝟒𝟐𝐊𝐌 & 𝟐𝟏𝐊𝐌 𝐑𝐎𝐔𝐓𝐄 🏁,42KM & 21KM ROUTES – MALAYSIA MARATHON 2026,Running Threads,"Full marathon and half marathon routes designed for serious runners — demanding courses through Kuala Lumpur. Starting at Pavilion, passing KLCC, Dataran Merdeka and key city segments, testing pace, endurance and mental strength over 42KM & 21KM."
#5SOSINKL ( from EO live ),"✔️ Vip standing is finished ( allocated for 500 pax ) only 
✔️ There will be the ‘ bite the apple ‘ package tomorrow 
✔️ They will probably add more allocation for VIP standing tomorrow
✔️ No QN for now
✔️ They will try to add more capacity for VIP standing 
✔️ Half of the tickets will be available for tomorrow ( seated ) around 4000x more 
✔️ CAT1/2/4/5 will still be available tomorrow 
✔️ You must purchase a ticket before adding on ‘ bite the apple ‘ package",5sos Malaysia,
I am Muhammad Sumud Nusantara from Malaysia.,We condemn the actions of the Zionist military in detaining volunteers of the Global Sumud Flotilla.,,"If Gaza is not under blockade and aid is allowed to enter, then why are these efforts being obstructed?"
"📍Penang, Malaysia",,,
"Hey KL girlies!! 🇲🇾
Hosting weekly events for girls who wants to vibe around KL city!! Meanwhile creating a safe space for girls to chat around 💗","Example of events :
• cafe hopping
• food hunting
• adventures
• thrifting
• shopping
• movies",Kuala Lumpur Malaysia,"If this suits your vibe, comment/dm for whatsapp gc link 🪄
⚠️ strictly LADIES only ⚠️
Don’t miss this opportunity!!"
"If I hold my photography course in Malaysia, will people be interested in it?",,Malaysia Threads,
Come on！I will cover you 🏸 malaysia,,malaysia,
"DAESUNG will be performing at ASIATOP Music Festival in Malaysia 🇲🇾 
大声将会出演马来西亚的 ASIATOP音乐节🇲🇾","🗓️ 30/05/2026 
📍 Sepang International Circuit 
⭐ Line-up | 阵容: DAESUNG, WINNER, NMIXX, KUN, NexT1DE, AINA ABDUL, Belle Sisoski, Win Metawin",DAESUNG,
Stray Kids English Names:,"Bang Chan = Christopher
Lee Know ≠ Rhino; comes from an OG9 livestream, as a joke
Changbin ≠ Bartholomew/Loius; comes from an OG9 livestream, as a joke
Hyunjin = Baptismal name is Joseph; while living in the US, he chose Sam
Han = while living in Malaysia, he chose Peter; recently has been going for Sebastian 
Yongbok = Felix
Seungmin = while living in the US, he chose Sky
Jeongin = Baptismal name is John; Bob comes from an OG9 livestream, as a joke",,
"Anyone boleh share view from section 308. Aku panic buying nk secure 3tix side by side, ambil ja apa yg ada 😂 PLEASEEEE SEAT VIEW 30888",,5sos Malaysia,
Anyone looking for part time/ side hustle in Malaysia?,"I’m expanding! ⭐️
Looking for passionate, ambitious individuals to join my beauty & wellness team (flexible time).",,"Ideal if you:
✨ Are 25-40 y/o
✨ Love traveling
✨ Want to explore life beyond corporate
✨ Crave personal & professional growth"
"Letting go
2* General Standing 
4* Cat 1 & Cat 2! 
Reserved VIP",,5sos Malaysia,
How much in total?! From Malaysia to Japan 🇲🇾→🇯🇵,,,
5SOSFam 🌟,"Thank you again for using our ticketing service during today’s artiste pre-sale, we appreciate the support!",5sos live in malaysia,"Our team will be reaching out via WhatsApp to verify your email address. This step ensures your tickets are sent to the correct inbox. Once your email is confirmed, your tickets will be delivered shortly after."
Done register 💪💪,,malaysia marathon 2026,
"We’re hosting an exclusive beach-themed PR launch party with a shave care brand — all about body positivity, and a safe space to connect and vibe! 🌊☀️🐚","Requirement:
Min. 1K IG followers",Kol malaysia,"Deliverable:
Just 1 x IG Story (yes, that’s it!)"
lets go.. Debut FM,,Running Threads,
gurney 📍,,Penang Malaysia,
"Hi I’m a full time model in Malaysia 
Will be available for bookings 
8 may onwards 🤍",,,
Secured x4 tickets for gen sale today✨,,simple plan malaysia,
"Hope this thread reaches Malaysian new mothers.
Does MOH Malaysia give out Bantuan Hampers for mothers during certain times in a year?",,Malaysia Threads,
,Is there any Safety & Health Officer employed by Zus Malaysia?,,JKKP
"Hi everyone, our office is going to do an open interview for financial advisor position","Requirements:
• Able to speak good Bahasa Malaysia & English
• Proficient in Powerpoint, Microsoft Excel & Word
• Good communication skills (a must)
• SPM and above",Jawatan kosong,"Office location: 
Bandar Seri Alam / Eco Paladium ( Inv starting 7/5/2026) 
Bandar Seri Putra ( Inv on 6/5/2026)"
"Hi guys, looking to get used car at a good deal in Kepong area, where do I go?",,Malaysia Threads,
"URGENT HELP NEEDED 🙏
Kittens up for adoption!
• approx. 3 months old
• all female
• vaccinated, dewormed, flea-free","Free of charge, self pickup area Gombak/Selangor/KL OR we can arrange a meet up.
DM me",Cat adoption malaysia,
Thanks for tagging me,,,". I feel compelled to share. This dialogue looks interesting, but I've noticed the all-male panelists. While the speakers are certainly credible in their respective fields, I believe any forum focusing on a specific group, gender or marginalised community should actively include voices from that group. I’ve observed this pattern is still quite common in Malaysia."
"WE ARE HIRING 2 POSITION 
1.  Livestream Moderator (Chinese Female) 
2. ⁠E-commerce Admin (Female)","Experience is a bonus ✅ 
No experience also can ✅",vacancy malaysia,"Office :  Nearby TBS / Bandar Tun Razak 
URGENT ‼️"
Unforgettable Malaysia 🇲🇾 2026,,,
Jackson wang is rumored to attend KANS upcoming event in Malaysia as the brand’s global ambassador.,,,
📌 𝐔𝐩𝐜𝐨𝐦𝐢𝐧𝐠 𝐓𝐞𝐜𝐡 𝐄𝐯𝐞𝐧𝐭,🤖 Bot It Like It’s Hot — GenAI Workshop 💻,IT industry Malaysia,"👥 Who: Beginners & students
📅 Date: 8 May 2026, Fri 
🕗 Time: 8:00 PM – 10:00 PM 
📍 Venue: Online (Google Meet) 
💰 Fee: Free"
We’re expanding our team at Voltek Energy. ☀️,"Join us and be part of a team driving solar projects across Malaysia.
As a growing player in the renewable energy industry, we offer hands-on experience across key functions including engineering, operations, designer and marketing.",Job Hiring,"📍 Wangsa Maju, Kuala Lumpur
📩 Send your resume to hr@doopletech.com"
Detox asia tour2026  In Kuala Lumpur,,,
"Mana diaorg dapat semangat perjuangan ni. Dah kena tahan dgn IOF, dibebaskan, bukan nak balik Malaysia. Nak sambung lagi perlayaran ke Gaza. Dahsyat betul! Semoga urusan mereka dipermudahkan Allah!",,globalsumudflotilla,
"The data center sector continues to boom in Malaysia. Demand is extremely strong, and my clients have had to secure and pay for server capacity in advance, even before construction has started.",,,
WE’LL NEVER BE AS YOUNG AS WE ARE NOW!,,5sos Malaysia,
DAESUNG invites us all at 2026 ASIA TOP MUSIC FESTIVAL! 🫶🏼🔥,"His iconic voice commands the entire stage, explosive vocal skills paired with full-on stage passion. The moment the music starts, just lose yourself completely in his performance.",,"📍SEPANG INTERNATIONAL CIRCUIT
🗓️30 May | Selangor, Malaysia"
Malaysia,,,
"Hi #portfolioday 
I’m Hazren, pixel artist from Malaysia, and here’s some of my work! 👾",,,
"Hi guys! 
📍KL, Malaysia","Female & Male Models needed 
Runway (paid job)
June 28th
Fashion Brand",,"Requirements : M/L/XL Size
Well maintained body frame"
"“Never give up on your dreams, no matter how painful and difficult your journey is.”
#themightytiger🤍💚#AR9
ifc_malaysia",,,
"Found the perfect pancakes in Subang, Malaysia 🥞",It’s so fluffy and airy,Kuala Lumpur Malaysia,
Part 2 of the KL.water festival.,Went back at 10pm and dance till the Grand Finale and the encore past 1am.,,Truely a great and wet experience here.
We laugh at ANYTHING,#malaysia #malaysian #malaysians #airasia,,
"Anyone nak 2×  extra cat 5 and 2× VIP standing 
Dm me now
A buyer cancelled reservation because they managed to secure a ticket 
Selling for original price",,5sos Malaysia,
Malaysia🇲🇾,,,
"any pretty fem? let’s moots, im from malaysia btw and soft masc",,wlw,
"Penang, Malaysia 🇲🇾",,,
"mix roses for today
rm50 jee",,Penang Malaysia,
We're not special,#malaysia #malaysian #malaysians,,
Is there any business owner in Kuching or Malaysia willing to hire me as an intern for a day?,,Business Threads,
"I’m sort of burnt out after the crazy finals (2.5 hours of nonstop essays) and such a dramatic, eventful semester… These few days I just sleep a lot that’s all",,Malaysia Threads,
Malaysia! We have the new queen. Here is our new,"Congratulations, she will represent us for the 4th Edition of Miss Charm pageant",,
Secured x11 tickets for today!✨,,Simple Plan Live In Malaysia,
Malaysia 🇲🇾,,,
Malaysia dump 💌🏙️,,,
🎶 PART-TIME CONCERT CREW NEEDED (MALAYSIA 🇲🇾),"We are looking for part-time concert crew to assist with upcoming live events. If you’re interested in behind-the-scenes work and enjoy the event environment, this could be a good fit.",,"📍 Location: Kuala Lumpur
📅 Date: 25 May 2026
⏰ Time: 1:00 PM – 10:00 PM"
"Take me home Scootie 😂😂😂
Bye2 Ipoh / Malaysia",,,
Malaysia 🇲🇾,,,
my teenage self would be proud of me because back in 2016 I was only in the GA pit,,5sos Malaysia,
Malaysia !,,,
In Malaysia,,,
Well said 🗿,,Malaysia Threads,
"🔥 EVENT CREW KONSERT KL NEEDED
📍 Pasar Seni
💰 RM400/jam
Kelayakan:
• 10 Female / 5 Male
• Boleh kerja dalam team
Tugas:
• Handle event & assist crowd
📩 WhatsApp/DM untuk apply – slot terhad!",,Malaysia Threads,
"Detox asia tour2026 
From Thailand to Malaysia
🇹🇭🇰🇷🇵🇭🇸🇬🇦🇺🇹🇼🇲🇾
#one ok rock
#Detox asia tour2026",,,
"Can’t wait to be back in malaysia, eating nasi lemak and going to the mall every single day 🥹 lol",,,
"I’m a female photographer based in KL, Malaysia. I’m open for jobs and would love to connect with you to work on your project!","I specialise in; 
✨ Portrait/Couples/Family 
✨ Pets 
✨ Product
✨ Events",,"I’m also open for bigger projects, video shoots etc!"
Malaysia 🇲🇾,,,
Tourmaline colour sorting. Spotted some tiny Paraiba-esque pieces already 🧐,,Malaysia jewellery,
Malaysia 🇲🇾,,,
"New spot unlocked in BANGI ✨This might be your new daily routine & late night obsession~
📍maybematcha Bangi (UG01 Sunway Gandaria)
Open daily 10am-12am Fri & Sat 10am-1am
Ps: Pull up before everyone finds out🍵
#maybematcha #bangicafe #cafehunting #malaysia",,Matcha Threads,
"Hi!! I’m Haninah 🍯 I’m an illustrator and graphic designer from Malaysia!
Let’s connect! 🧡 #ArtistsOnThreads KidLit Threads KidLit Threads",,KidLit Threads,
"counting days, around the corner 
tiba tiba evo announce blak 2.0 dh siap lineup",,Verknipt Malaysia 2026,
